epoch,split,loss,l1_loss,l2_loss,l3_loss,l1_acc,l2_acc,l3_acc,overall_acc,count_l3,lr
1,train,0.395934,0.090182,0.617491,0.000000,0.970201,0.746473,0.000000,0.238237,0,0.00005000
1,val,2.642795,0.090166,0.456109,2.096520,0.976964,0.864821,0.120879,0.488214,3094,0.00004994
1,test,2.603886,0.075181,0.440921,2.087784,0.981250,0.868929,0.125000,0.495000,3056,0.00004994
2,train,-0.349829,0.072709,0.504727,0.000000,0.977902,0.832835,0.000000,0.250603,0,0.00004994
2,val,2.618575,0.088572,0.430414,2.099588,0.978393,0.875893,0.120556,0.486429,3094,0.00004976
2,test,2.606568,0.085182,0.425943,2.095444,0.978571,0.875893,0.120419,0.490179,3056,0.00004976
3,train,-0.945916,0.067664,0.482093,0.000000,0.980268,0.848750,0.000000,0.250871,0,0.00004976
3,val,2.602354,0.079321,0.426375,2.096658,0.978929,0.885536,0.129929,0.500536,3094,0.00004945
3,test,2.547257,0.054834,0.400201,2.092222,0.984821,0.890536,0.119764,0.505357,3056,0.00004945
4,train,-1.512495,0.064031,0.458174,0.000000,0.981875,0.863683,0.000000,0.252969,0,0.00004945
4,val,2.565747,0.071920,0.393222,2.100605,0.980536,0.897679,0.117970,0.490893,3094,0.00004903
4,test,2.528031,0.061456,0.369312,2.097263,0.983571,0.909107,0.110929,0.497143,3056,0.00004903
5,train,-2.022625,0.063994,0.443175,0.000000,0.982321,0.876295,0.000000,0.257478,0,0.00004903
5,val,2.567492,0.075253,0.393499,2.098740,0.981607,0.897679,0.121526,0.494821,3094,0.00004849
5,test,2.521947,0.054037,0.374563,2.093348,0.985357,0.903571,0.114856,0.499464,3056,0.00004849
6,train,3.782033,0.051279,0.407727,1.777486,0.983192,0.883259,0.321711,0.409129,37170,0.00004849
6,val,1.984551,0.057367,0.360826,1.566358,0.985714,0.910893,0.433420,0.660000,3094,0.00004784
6,test,1.924142,0.047417,0.344693,1.532032,0.986250,0.915000,0.458442,0.673214,3056,0.00004784
7,train,1.211697,0.044708,0.378512,1.320693,0.985469,0.899263,0.548562,0.587232,37241,0.00004784
7,val,1.766109,0.056818,0.359622,1.349669,0.983571,0.910536,0.546542,0.712500,3094,0.00004707
7,test,1.683776,0.045246,0.334804,1.303726,0.986964,0.922321,0.553992,0.724643,3056,0.00004707
8,train,-0.082858,0.041265,0.340652,1.070631,0.987411,0.919063,0.664301,0.682924,37203,0.00004707
8,val,1.588073,0.058379,0.337961,1.191733,0.985893,0.923393,0.621849,0.758393,3094,0.00004620
8,test,1.533768,0.046457,0.320866,1.166445,0.989107,0.931250,0.637435,0.768571,3056,0.00004620
9,train,-0.839141,0.040475,0.308290,0.894582,0.988036,0.937567,0.742374,0.752232,37209,0.00004620
9,val,1.471697,0.050193,0.320780,1.100723,0.986429,0.935536,0.668067,0.785000,3094,0.00004523
9,test,1.421734,0.046232,0.311687,1.063814,0.986607,0.934821,0.695681,0.799821,3056,0.00004523
10,train,-1.306313,0.039899,0.280404,0.766953,0.988973,0.951763,0.800441,0.807210,37202,0.00004523
10,val,1.320503,0.054918,0.315966,0.949619,0.985357,0.940357,0.734324,0.821429,3094,0.00004415
10,test,1.290507,0.039770,0.296903,0.953834,0.989464,0.946607,0.726767,0.823036,3056,0.00004415
11,train,-1.647505,0.038935,0.259576,0.656528,0.989219,0.961406,0.846181,0.849464,36946,0.00004415
11,val,1.321372,0.050146,0.317327,0.953899,0.987321,0.942500,0.725275,0.818929,3094,0.00004298
11,test,1.258991,0.039466,0.297911,0.921613,0.990000,0.946250,0.758835,0.838929,3056,0.00004298
12,train,-1.903257,0.038052,0.243927,0.579028,0.990313,0.969420,0.875384,0.877969,37106,0.00004298
12,val,1.249932,0.057416,0.308776,0.883740,0.988214,0.946607,0.758242,0.837143,3094,0.00004173
12,test,1.180026,0.047482,0.295744,0.836800,0.989107,0.949643,0.783377,0.850893,3056,0.00004173
13,train,-2.109214,0.038858,0.231066,0.514211,0.990848,0.975045,0.903802,0.904241,37142,0.00004173
13,val,1.249350,0.080071,0.310154,0.859125,0.984821,0.946607,0.783129,0.848393,3094,0.00004039
13,test,1.178355,0.052609,0.293726,0.832020,0.988571,0.951964,0.793848,0.855536,3056,0.00004039
14,train,-2.269005,0.039931,0.224441,0.460619,0.991071,0.978884,0.925808,0.925000,37201,0.00004039
14,val,1.151950,0.075326,0.305817,0.770807,0.987679,0.954643,0.810924,0.869821,3094,0.00003898
14,test,1.093345,0.053437,0.280716,0.759192,0.991429,0.959643,0.813482,0.873036,3056,0.00003898
15,train,-2.357451,0.042766,0.221629,0.423141,0.990647,0.980223,0.941254,0.938147,37126,0.00003898
15,val,1.139570,0.081881,0.305333,0.752356,0.987321,0.952321,0.830640,0.875714,3094,0.00003750
